Meaning,Spanish,Portuguese,Notes
window,ventana < Lat. ventānam,janela < Lat. iānuellam,Lat. ventānam 'wind opening' < ventus 'wind'. Lat. iānuella is a diminutive of iānua 'door  opening' (the same root as Eng. January and janitor) < the name ianus  the God of gates or doors.
counter,ventanilla < Lat. ventānam + suffix 'illa',balcão < Germanic balkōn,Sp. balcón means 'balcony'
to disrupt  to get in the way (of someone/smthg),molestar  estorbar < Lat. molestus  exturbāre,atrapalhar < Low-Frankish trappa,[empty]
to erase,borrar < Late Lat. burrāre,apagar < Lat. appācāre,Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port.  e.g. apagar a luz 'to turn off the light').
to forget,olvidar < Lat. oblītāre,esquecer < Lat. excadescere,Olvidar also exists in Port. (but is far less common). A learned cognate  obliterar  exists in both languages.
to retort  to strike back,contraatacar < Lat. + Ita. contra + attaccare,ripostar < Fr. riposter,[empty]
to throw  to add,echar < Lat. iactare,atirar  pôr < Gothic/Suebian taíran  < Lat. ponere < pono,[empty]
to smell,oler < Lat. olēre,cheirar < Lat. flagrāre,[empty]
to snore,roncar < Lat. ronchus < Gr. ῥέγχος,ressonar Prefix + < Lat. re + sonare,[empty]
slug,babosa < Lat. baba + osa,lesma < Lat. limax,[empty]
simple,sencillo < Lat. singulus,simples < Lat. simplex,Sp. also has simple.
stage,escenario < Lat. scenarium,palco < Langobardic palk,[empty]
fear,temor < Lat. timore,receio < Lat. re + celare,Port. also has temor.
harvest  crop,cosecha < Lat. collecta,seara < Celtic seni + aro,Port. colheita and recolha (both < Lat. collecta) generally refer to the harvest of crops  wine or data collection (i.e. online surveys  personal data).
black,negro < Lat. niger,preto < Lat. pressus 'compressed  dense',Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark"  "tan"  or "swarthy" in a similar fashion to moreno in both Sp. and Port.).
near,cerca < Lat. circa,perto perh. < Lat. * prettus  alteration of pressus 'compressed',[empty]
far,lejos < Lat. laxius,longe < Lat. longe,[empty]
spark,chispa (onomatopoeic),faísca < Germanic falwiskan,[empty]
shard,esquirla < Lat. schidia  < Indo-European skei,lasca < *Proto-Germanic laska  or < *Lat. lesca,[empty]
toy,juguete < Lat. + Sp. suffix iocus + ete,brinquedo < Proto-Germanic blinkaną  blīkaną,[empty]
swine,cochino (onomatopoeic),suíno < Latin suīnus < Proto-Germanic swīną,[empty]
dew,rocío < Lat. rosidus,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic ūrą + fallaną,[empty]
pen,bolígrafo < Lat. bulla + Gr. γράφειν,caneta < Lat. cannae + Por. eta,[empty]
print (evidence),huella < Lat. follare,marca < Germanic marka,[empty]
windrow,hilera < Lat. fīlum + Sp. ‑era,leira < Proto-Celtic ɸlāryo,[empty]
yesterday,ayer < Lat. ad heri,ontem < Lat. ad noctem,[empty]
to stay,quedarse < Lat. quietāre,ficar < Vulg.Lat. * figicāre,[empty]
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat. capillus,Port. peruca means 'wig'
chair,silla < Lat. sella,cadeira < Lat. * cathedra  perh. < Proto-Celtic * cathair,[empty]
cup  mug,taza < Arabic ṭassa,chávena < Malay chãvan < Chinese < chã-kvãn  caneca < Germanic can,Brazilian Port. tends to use xícara < Sp. jícara < Nahuatl xīcalli.
fork,tenedor < Lat. + Sp. suffix tenēre + dor,garfo < either via Lat. graphium or < Fr. greffe,[empty]
ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic Iohanna + suffix 'inha',[empty]
robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish pincio,[empty]
peach,melocotón < Lat. malum cotonium,pêssego < Lat. [malum] persicum,[empty]
pillowcase,funda < Lat. fundus,fronha < Celt. srogna,[empty]
grasshopper,saltamontes < Lat. salto + mons,gafanhoto < Proto-Celtic gabalā,[empty]
weasel  skunk,mofeta < Ita. moffetta,doninha < Lat. domina + Port. suffix inha,[empty]
trousers,pantalón < Fr. pantalon < Ita. pantaleone,calças < Lat. calceu,[empty]
doorbell,timbre"(de la puerta) < Fr. timbre,campainha < Lat. campana,Spanish also has campanilla.
thunder,trueno < Lat. tonare,trovão < Lat. turbōnis,[empty]
noise,ruido < Lat. rugitus,barulho < Gaulish bruge,Port. also has ruído
handicapped,minusválido < Lat. minus + valere,Deficiente < Lat. deficiens,[empty]
development,desarrollo < Lat. + prefix des rotulus,desenvolvimento < Lat. + des involvo,[empty]
unavoidable,indefectible < Lat. + prefix in defectibĭlis,incontornável < Lat. + prefix in con+tornare,[empty]
drug addict,drogadicto < Eng. drug addict,toxicodependente  drogado < Lat. toxicum + dependens  < Fr. drogue,Both Port. and Sp. have 'toxicomania' for drug addiction
budget,presupuesto < Lat. pre+sub+positus,orçamento < Uncertain  Ita. 'orza' or likely Frankish *lurz + Lat. orça[12] + mentum,[empty]
