Meaning,Spanish,Portuguese,Notes
chicken,pollo < Lat.,frango < Probably Fr. francolin < Ita. francolino  all of,[added]
lamp,lámpara < Lat.,'candeeiro'' < Lat.,Portuguese lâmpada usually means 'light bulb' (except in certain idioms  like lâmpada de Aladino  i.e.  'Aladdin's lamp')
meal,comida < Lat.,refeição  repasto (arch.) < Lat.,Portuguese 'comida' means food
owl,búho < Lat.,coruja (*maybe from Lat. cunicularis) of,[added]
kennel,perrera < uncertain origin  perhaps Pre-Roman.,canil < Lat.,[added]
cattery,criadero < Lat.,gatil < Proto-Ger.,[added]
ground,suelo < Lat.,chão < Lat.,Port. also has solo.
office,despacho < Lat.,gabinete  escritório < Occitan  Lat.,[added]
ground floor,planta baja < Lat.,rés-do-chão  rés-de-chão< Lat.,Brazilian Port. tends to use térreo
buoy,flotador < Fr. + Sp. suffix,boia < Old Fr. bouée < Frankish,[added]
nappy  diaper (baby),pañal < Lat.,fralda < Gothic,[added]
performance,representación < Lat.,performance < Eng 'performance' < Anglo-French,[added]
preemptive,preventivo < Lat.,preemptivo < Eng 'preemptive' < Lat,[added]
report,informe < Lat.,relatório < Lat. relatus + ório suffix <,[added]
highlight,realce < Lat. + prefix,destaque < Germanic,[added]
prison,cárcel < Lat.,prisão< Lat.,Span. also has prisión and Port. archaic cárcere.
squirrel,ardilla < Pre-Roman or probably Berber,esquilo Lat. scūrĭōlus < Gr.,[added]
garret  mansard,''zaquizamí <ref>http://dle.rae.es/srv/search?m=30&w=zaquizam%C3%AD</ref> buhardilla < Hisp-Ar.   < Lat.,água-furtada  mansarda < Lat.   < Fr.,[added]
watercress,berro < Celtic,agrião < Gr.,[added]
mint,menta < Lat. mentha < Gr.,hortelã < Lat.,Port. also has menta.
sour cherry,cereza gordal < Lat.,ginja < Frankish,[added]
stepchild,hijastro(a) < Lat.,enteado(a) < Lat.,[added]
step-brother,hermanastro(a) < Lat. + suffix,meio-irmã(o) < Lat.,[added]
stump  amputated limb,muñón < Pre-Roman/Basque,coto < Celtic-Goidelic,[added]
baby changing (area),cambiador (infantil) < Lat + dor,fraldário < Gothic + arius,[added]
blade,hoja < Lat.,lâmina < Lat.,[added]
butcher(s)(shop),carniceria < Lat.,talho < Lat.,[added]
shoe polish,betún < Lat.,graxa < Lat.,[added]
shaving,afeitar < Lat.,barbear < Lat.,[added]
pocket knife,navaja < Lat.,canivete < Old Fr. </ref> }},Portuguese 'navalha' means razor.
diving,buceo < Port.,mergulhar < Lat.,[added]
bait,cebo < Lat.,isca < Lat.,[added]
skirt,falda < Germanic,saia < Lat. sagum < Celtic,[added]
glasses,gafas < Uncertain  maybe Arabic <ref></ref>,óculos < Lat.,[added]
stiffness (muscular),agujetas < Lat.,dor muscular < Lat.,[added]
operating theatre,quirófano < Gr.,sala de operações''  sala de cirurgia  bloco operatório < Ger + Lat.   < Ger + Gr.   < Ger + Lat.,[added]
stem cell research,investigación con células madre < Lat.,pesquisa de células estaminais < Lat.,[added]
stream  creek,arroyuelo < Pre-Roman,ribeira  ribeiro < Lat.,[added]
stubborn,testarudo < Lat.,teimoso < Lat.   < Gr.,[added]
plateau,meseta < Lat.,planalto < Lat.,[added]
wave,ola < Uncertain origin,vaga < Gothic <ref></ref> or < Old Norse  <ref></ref> both from Ancient Germanic 'vigan' to shake,Port. also has onda.
broom,aulaga < Ar.,vassoura  giesta  carqueja < Lat.   < Lat.   < Maybe Lat.,[added]
pants  knickers,bragas < Lat. braca < Celtic,cuecas < Lat.,[added]
(bed) sheet,sábana < Lat.,lençol < Lat.,[added]
basketball,baloncesto < Frankish + Lat.,basquetebol < Eng.,[added]
reporter,periodista  periodicista <,repórter < Eng.,Spanish also has reportero
ricochet,rebote < Frankish + Lat. prefix,ricochete < Fr.,[added]
riff-raff  mob,chusma < Genoese ciüsma < Gr.,canalha < Occitan,[added]
cashew,anacardo < Lat.,caju < Tupi,[added]
mushrooms,setas < Uncertain origin,cogumelos < Lat.,[added]
oleander,adelfa < Ar.,''aloendro  loendro'< Lat.,[added]
pumpkin,calabaza < Pre-Roman,abóbora < Lat.,Port. cabaça means 'calabash''
squid,calamar < Lat.,lula < Lat.,Port. also has calamar
date,fecha < Lat.,data < Lat.,[added]
elsewhere  somewhere  nowhere,en otro lugar < Lat.   en alguna parte < Lat.   en ningún lugar < Lat.,alhures < Provençal   algures < Lat. + Provençal   nenhures < Lat. + Provençal,[added]
nobody,nadie < Lat.,ninguém < Lat.,[added]
lawn,césped < Lat. caespes,relvado  grama < Lat. relevare  < Lat. gramen,[added]
holiday  vacation,vacaciones < Lat. vacatio < vacationis,Férias < Lat. feriae,[added]
card,tarjeta < Fr. targe + diminutive suffix eta,cartão  carta < Gr. χάρτης < Lat. charta,[added]
beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has filé
retaliation,retorsión < Lat. retorsus,retaliação < Lat. retalio,[added]
remorse,arrepentimiento < Lat.,remorso(s) < Lat.,Sp. also has remordimiento
boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,[added]
glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + lôfa,[added]
thin,delgado < Lat.,magro < Lat.,Sp. magro means 'lean'  in reference to meat
surface  peel,superficie < Lat. superficĭes,tona < Celt. tondā/tunna,Port. also has superfície.
earring,pendiente < Lat. pendere,brinco < Lat. vinculum,[added]
watermelon,sandía < Ar. sindiyyah,melancia < balancia < Lat. bilanx,[added]
passion fruit,fruto de la pasión < Lat. fructa + passio,maracujá < Tupi moruku'ia,Sp. also has maracuyá
window,ventana < Lat.,janela < Lat.,Lat. 'wind opening' < 'wind'. Lat. is a diminutive of 'door  opening' (the same root as Eng. January and janitor) < the name   the God of gates or doors.
counter,ventanilla < Lat.,balcão < Germanic,Sp. balcón means 'balcony'
to disrupt  to get in the way (of someone/smthg),molestar  estorbar < Lat.  ,atrapalhar < Low-Frankish,[added]
to erase,borrar < Late Lat.,apagar < Lat.,Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port.  e.g. apagar a luz 'to turn off the light').
to forget,olvidar < Lat.,esquecer < Lat.,Olvidar also exists in Port. (but is far less common). A learned cognate  obliterar  exists in both languages.
to retort  to strike back,contraatacar < Lat. + Ita.,ripostar < Fr.,[added]
to throw  to add,echar < Lat.,atirar  pôr < Gothic/Suebian   < Lat.,[added]
to smell,oler < Lat.,cheirar < Lat.,[added]
to snore,roncar < Lat. < Gr.,ressonar Prefix + < Lat.,[added]
slug,babosa < Lat.,lesma < Lat.,[added]
simple,sencillo < Lat.,simples < Lat.,Sp. also has simple.
stage,escenario < Lat.,palco < Langobardic,[added]
fear,temor < Lat.,receio < Lat. re +,Port. also has temor.
harvest  crop,cosecha < Lat.,seara < Celtic,Port. colheita and recolha (both < Lat. ) generally refer to the harvest of crops  wine or data collection (i.e. online surveys  personal data).
black,negro < Lat.,preto < Lat. 'compressed  dense',Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark"  "tan"  or "swarthy" in a similar fashion to moreno in both Sp. and Port.).
near,cerca < Lat.,perto perh. < Lat. *  alteration of 'compressed',[added]
far,lejos < Lat.,longe < Lat.,[added]
spark,chispa (onomatopoeic),faísca < Germanic,[added]
shard,esquirla < Lat.   < Indo-European,lasca < *Proto-Germanic   or < *Lat.,[added]
toy,juguete < Lat. + Sp. suffix,brinquedo < Proto-Germanic,[added]
swine,cochino (onomatopoeic),suíno < Latin suīnus < Proto-Germanic,[added]
dew,rocío < Lat.,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic,[added]
pen,bolígrafo < Lat.,caneta < Lat.,[added]
print (evidence),huella < Lat.,marca < Germanic,[added]
windrow,hilera < Lat. + Sp. ‑era,leira < Proto-Celtic,[added]
yesterday,ayer < Lat.,ontem < Lat.,[added]
to stay,quedarse < Lat.,ficar < Vulg.Lat. *,[added]
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat.,Port. peruca means 'wig'
chair,silla < Lat.,cadeira < Lat. *  perh. < Proto-Celtic *,[added]
cup  mug,taza < Arabic,chávena < Malay < Chinese <   caneca < Germanic,Brazilian Port. tends to use xícara < Sp. jícara < Nahuatl xīcalli.
fork,tenedor < Lat. + Sp. suffix,garfo < either via Lat. or < Fr.,[added]
ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic,[added]
robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish,[added]
peach,melocotón < Lat.,pêssego < Lat.,[added]
pillowcase,funda < Lat.,fronha < Celt.,[added]
grasshopper,saltamontes < Lat.,gafanhoto < Proto-Celtic,[added]
weasel  skunk,mofeta < Ita.,doninha < Lat.,[added]
trousers,pantalón < Fr. < Ita.,calças < Lat.,[added]
doorbell,''timbre"(de la puerta) < Fr.,campainha < Lat.,Spanish also has campanilla.
thunder,trueno < Lat.,trovão < Lat.,[added]
noise,ruido < Lat.,barulho < Gaulish,Port. also has ruído
handicapped,minusválido < Lat.,Deficiente < Lat.,[added]
development,desarrollo < Lat. + prefix des,desenvolvimento < Lat. + des,[added]
unavoidable,indefectible < Lat. + prefix in,incontornável < Lat. + prefix in,[added]
drug addict,drogadicto < Eng.,toxicodependente  drogado < Lat.   < Fr.,Both Port. and Sp. have 'toxicomania' for drug addiction
budget,presupuesto < Lat.,orçamento < Uncertain  Ita. 'orza' or likely Frankish *lurz + Lat. </ref> + mentum}},[added]
