Virtuozzo,[empty],[empty],Compatible,Operating system-level virtualization,Server consolidation  service continuity  disaster recovery  service providers,Up to near native,[empty]
VMware ESXi Server 5.5 (vSphere),, add-on  up to 64 way,[empty],[empty],Virtualization,Server consolidation  service continuity  dev/test  cloud computing  business critical applications  Infrastructure as a Service IaaS,Up to near native,[empty]
VMware ESX Server 4.0 (vSphere),, add-on  up to 8 way,[empty],[empty],Virtualization,Server consolidation  service continuity  dev/test  cloud computing,Up to near native,[empty]
VMware ESX Server 3.0,, add-on  up to 4 way,[empty],[empty],Virtualization,Server consolidation  service continuity  dev/test,Up to near native,[empty]
VMware ESX Server 2.5.3,, add-on  2 way,[empty],[empty],Virtualization,Server consolidation  service continuity  dev/test,Up to near native,[empty]
VMware Fusion,[empty],[empty],[empty],Virtualization,Hobbyist  Developer  Tester  Business workstation,Up to near native,[empty]
VMware Server,(2-way),[empty],[empty],Virtualization,Server/desktop consolidation  dev/test,Up to near native,[empty]
VMware Workstation,(2-way),[empty],[empty],Paravirtualization (VMI) and virtualization,Technical professional  advanced dev/test  trainer,Up to near native,[empty]
VMware Player,<ref name="vmware9" />,[empty],[empty],Virtualization,Technical professional  advanced dev/test  trainer  end user on prebuilt machines,Up to near native,[empty]
Xen,, v4.0.0: up to 128 VCPUs per VM,[empty],[empty],Paravirtualization and porting or hardware virtualization,Virtualized server isolation  server/desktop consolidation  software development  cloud computing  other purposes. Xen powers most public cloud services and many hosting services  such as Amazon Web Services  Rackspace Hosting and Linode.,Up to native<ref name="unf.edu" />,[empty]
XCP-ng,[empty],[empty],[empty],Paravirtualization and porting or hardware virtualization,Virtualized server isolation  server/desktop consolidation  software development  cloud computing  desktop virtualization  public cloud services  hostings services and other purposes.,Up to native|,[added]
XenServer,[empty],[empty],[empty],Paravirtualization and porting or hardware virtualization,Virtualized server isolation  server/desktop consolidation  software development  cloud computing  other purposes. Xen powers most public cloud services and many hosting services  such as Amazon Web Services  Rackspace Hosting and Linode.,Up to native<ref name="unf.edu" />,[empty]
XtratuM,[empty],[empty],[empty],Paravirtualization,Embedded  safety critical  secure,[empty],[empty]
z/VM,, both real and virtual (guest perceives more CPUs than installed)  incl. dynamic CPU provisioning and reassignment,[empty],, but not required,Virtualization (among first systems to provide hardware assists),Servers,Near native,[empty]
z LPARs,, both real and virtual (guest perceives more CPUs than installed)  incl. dynamic CPU provisioning and reassignment; up to 64 real cores,[empty],, but not required,Microcode and hardware hypervisor,Servers,Native: System z machines always run with at least one LPAR,[empty]
Name,Guest OS SMP available,Runs arbitrary OS,Supported guest OS drivers,Method of operation,Typical use,Speed relative to host OS,Commercial support available
