Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
XIPS-25,[empty],Boeing,Boeing 702 satellites,Vacuum,Xenon,@4.5 kW,@4.5 kW,[empty],[empty],[empty],[empty]
YF-100,[empty],AALPT,[empty],Booster  1st,RP-1 / LOX,<ref name=spacepac></ref> (SL),(SL),[empty],[empty],[empty],[empty]
YF-115,[empty],AALPT,[empty],2nd,RP-1 / LOX,[empty],[empty],[empty],[empty],[empty],[empty]
YF-21B,[empty],AALPT,[empty],Booster  1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty]
YF-21C,[empty],AALPT,[empty],1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[added]
YF-25,[empty],AALPT,[empty],Booster,[[Dinitrogen tetroxide|N2O4]] / UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty]
YF-22B,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-22C,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-22D,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-22E,[empty],AALPT,[empty],2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-40,[empty],AALPT,[empty],3rd,[[Dinitrogen tetroxide|N2O4]] / UDMH,[empty],[empty],[empty],[empty],[empty],[empty]
YF-50D,[empty],AALPT,[empty],Upper,[[Dinitrogen tetroxide|N2O4]] / UDMH,[empty],[empty],[empty],[empty],[empty],[empty]
YF-73,[empty],AALPT,Long March 3,3rd,[[Liquid hydrogen|LH2]] / LOX,[empty],[empty],[empty],[empty],[empty],[empty]
YF-75,[empty],AALPT,[empty],3rd,[[Liquid hydrogen|LH2]] / LOX,<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty],[empty]
YF-75D,[empty],AALPT,Long March 5,2nd,[[Liquid hydrogen|LH2]] / LOX,[empty],[empty],[empty],[empty],[empty],[empty]
YF-77,[empty],AALPT,Long March 5,1st,[[Liquid hydrogen|LH2]] / LOX,(SL),(SL),[empty],[empty],[empty],[empty]
Rodong-1,[empty],Korean Committee of Space Technology,Nodong engine<ref name="b14643.de">http://www.b14643.de/Spacerockets_1/Rest_World/Paektusan-1/Description/Frame.htm</ref>,1st,UDMH / AK27,[empty],[empty],[empty],[empty],[empty],[empty]
