Application,Latest release date <br />and version,Developed by,Platforms,Mainly Used For,License
Hexagon,2011-08-16 <br />2.5.1.79,DAZ 3D,Microsoft Windows  Mac OS X,Subdivision Modeling  UV Mapping,[empty]
HiCAD,2017-02-13<br />v HiCAD 2017,ISD Software und Systeme,Microsoft Windows,2D/3D Modeling  Computer Aided Design  Automatic drawing generation  BIM  Animation  HELiOS PDM integration  API scripting,[empty]
Houdini,2018-05-15 <br />v 16.5,Side Effects Software,Microsoft Windows  Mac OS X  Linux,Animation  Lighting  Modeling  Visual 3D Effects,[empty]
iClone,2017-12-21 <br />v 7.2.1220.1,Reallusion,Microsoft Windows,Animation  Film and Television Previz  Videogame Asset Creation  Lighting  Visual 3D Effects,[empty]
Inventor,v 2018-11-30 <br />v 2019.0.2,Autodesk,Microsoft Windows,Modeling  Computer Aided Design  Rapid Prototyping  3D Printing,[empty]
LightWave 3D,2018-08-03 <br />v 2018.0.6,NewTek,Mac OS X  Microsoft Windows  Amiga OS<ref>LightWave 3D</ref>,Modeling  Animation  Lighting  Rendering  Film and Television Previz  Videogame Asset Creation,[empty]
MASSIVE,<br />v 3.5,Massive Software,Microsoft Windows  Linux,Artificial Intelligence in Models,[empty]
Maya,2016 <br />"2017",Autodesk,Microsoft Windows  Mac OS X  Linux,Modeling  Animation (Video)  Lighting  Rendering  Visual 3D Effects,[empty]
Metasequoia,2018-01-10<br />4.6.5,O. Mizno,Microsoft Windows,Modeling,[empty]
MODO,2018-06-21<br />12.1,The Foundry,Mac OS X  Microsoft Windows  Linux,Modeling  Animation  Rendering,[empty]
Mudbox,2018-03-14<br />2018.2,Autodesk,Mac OS X  Microsoft Windows  Linux,Lighting  Sculpting (the deformation of the model),[empty]
POV-Ray,2013-11-09 <br />v3.7.0,The POV-Team,Mac OS X  Microsoft Windows  Linux  AmigaOS,Lighting  Visual 3D effects,[empty]
PTC Creo (formerly Pro/Engineer),? <br />v 4.0,Parametric Technology Corporation,Microsoft Windows  HP-UX  Unix,Modeling  Computer Aided Design,[empty]
Remo 3D,2018-12-14 />v 2.8,Remograph,Microsoft Windows  Linux,Modeling  Virtual Reality  Real-time modeling  Video Game Creation  Computer Aided Design,[empty]
Rhinoceros 3D,2018-02-06 <br />v 6.0,McNeel,Microsoft Windows  Mac OS X in beta,Modeling  Computer Aided Design,[empty]
Shade 3D,2015-03-20 <br />v 15.1,Shade3D,Mac OS X  Microsoft Windows,Modeling  Rendering  Animation,[empty]
Silo,2018 <br />v 2.5.3,Nevercenter,Mac OS X  Microsoft Windows,Modeling,[empty]
SketchUp Pro,website=help.sketchup.com|access-date=2018-05-28}}</ref><br />v 18.0.16975 (Win64) <br />v 18.0.16976 (Mac64),Trimble Navigation,Mac OS X  Microsoft Windows,Modeling  Computer Aided Design,[empty]
Solid Edge,2018-06-? <br />ST10,Siemens PLM Software,Microsoft Windows,Computer Aided Design,[empty]
solidThinking Evolve,?-? <br />v 9.0,solidThinking,Mac OS X  Microsoft Windows,Modeling,[empty]
SolidWorks,2018-11-16 <br />v SolidWorks 2019 SP0.0,Dassault Systèmes,Microsoft Windows,Computer Aided Design,[empty]
SpaceClaim,2018-01 <br />v 7.12,SpaceClaim Corporation,Microsoft Windows,Computer Aided Design,[empty]
TopSolid,2018 <br />v 7.12,Missler Software,Microsoft Windows,Computer Aided Design/ Computer Aided Manufacturing,[empty]
E-on Vue,2017 <br />v 2016 R5,E-on Software,Mac OS X  Microsoft Windows,Animation  Landscape Modeling  Lighting,[empty]
Verto Studio 3D,2018-05-06 <br />v2.3.8,Michael L. Farrell,Mac OS X  iOS,Mobile Modeling  Texture Mapping  Lighting,[empty]
Wings 3D,2018-05-30 <br />v 2.1.7,Dan Gudmundsson (maintainer),Mac OS X  Microsoft Windows  BSD  Linux,Modeling  Sculpting (the deformation of the model)  UV mapping,[empty]
ZBrush,2018-03-27 <br />v 2018,Pixologic,Mac OS X  Microsoft Windows,Modeling  Texturing  Lighting  Sculpting (the deformation of the model)  Rendering,[empty]
