Meaning,Portuguese,Spanish < Arabic
drunk,bêbedo < Lat,borracho < Cat. morratxa<ref>1] El DCVB dóna les variants almaraixa  almaratxa  almarratja  almarratxa  marraixa  marratxa  borratxa</ref> < al-miįrášš
farmstead,casal < Lat.,alquería < Hisp.-Ar. alqaríyya < qaryah
gazpacho (soup),gaspacho < Sp.,gazpacho < Hisp.-Ar. gazpáčo < Gr. γαζοφυλάκιον
cupboard  pantry,armário < Lat.
sewer,esgoto < Lat.,alcantarilla < al-qantarah
floorcloth,pano de chão < Lat.,aljofifa < alǧaffífa''<ref>http://dle.rae.es/?id=1uP8Wxm</ref>
amount,montante  valor < Lat.
oil,óleo < Lat. (Port. azeite is exclusively 'olive oil'.)
melissa (herb),erva-cidreira  melissa < Lat.   < Gr.
plug,tomada  encaixe < Uncertain origin  '' < Lat. in +,enchufe < Hisp.-Ar.guf < Ar.gawf
basil,manjericão  basílico < Uncertain origin  maybe a combination of Por. manjar and < Lat.   < Lat.,albahaca < al-habaqa
yellow glandweed,erva-peganhenta < Lat.,algarabía (pegajosa) < Hisp-Ar.al‘arabíyya + Lat. picare
sir  lord,senhor < Lat.,Cid < sidi or sayyid (سيد)<ref></ref>  ref. to the historical hero El Cid (the common noun in Sp. is señor)
mullah,mulá < Eng.,ulema < fr. uléma <ar. clas. ulamā?'  pl. of ālim'' 'wise''<ref></ref>
gambler  cheat,jogatana  batoteiro < Lat.   < Latinised < Celt.,tahúr  tafur ant. < -Ar. takfūr < Arm. T'agawor<ref>http://dle.rae.es/srv/fetch?id=YwzaFA2</ref>
pea,ervilha < Lat.,guisante < Hisp.-Ar. biššáuṭ < Lat. pisum sapidum
mackerel,cavala < Celt.,jurel < Hisp.-Ar. šuríl  < Lat. saurus  < Gr. σαῦρος''
piggy bank  moneybox,mealheiro < Lat.,alcancía < Hisp.-Ar. alkanzíyya
poppy,papoila or papoula < Lat.,amapola  ababol < Hisp.-Ar. ḥababawra
esparto (grass),esparto < Lat.
orange blossom,flor de laranjeira < Lat. + < Sanskrit,azahar < azzahár < zahr<ref>http://dle.rae.es/?id=4dVqdHl</ref>
scorpion,escorpião < Lat.
syrup,calda < Lat.,almíbar < al-miba
waistcoat,colete < Ital.,chaleco < yalika
wallflower,goivo < Celt.,alhelí < alhayrí
bathrobe  dressing-gown,roupão (de banho)  robe < Gothic   < Fr.
corner,canto < Proto-Celtic,rincón < rukūn < rukn
flowerbed,canteiro < Proto-Celtic,arriate < riyāḍ
clown  buffoon,palhaço  bufão < Ital.
bowl  basin,bacia < via Late Lat. baccia from Gaulish,tazón  jofaina < طَسَّة (tassah)  < algufáyna <ref></ref><ref></ref><ref></ref>
gully  trench,regueira < Proto-Celtic + Por. suffix,acequia < Hisp-Ar. assáqya < sāqiyah
bean,feijão < Lat.,alubia < al-lūbiyā
trivial  futile,fútil < Lat.,baladí < balady بلدي
to flatter (verb),lisonjear < Provençal lauzenja  likely < Lat. or Gaulish lawsyā < Proto-Celtic
to save (verb),poupar < Lat.,ahorrar < alhurr الحر
to set (verb),engrenar  endentar < Fr.   < Lat. in +,engarzar < ġarzah
sheath  dressing,bainha  ligadura < Lat.   < Lat.,jareta < šarīṭah
coffin  casket,caixão  urna < Lat.   < Lat.,ataúd < التبوت at-tābūt
breast cancer,cancro da mama/câncer de mama < Lat.
wild boar  wild swine,porco-montês  porco-bravo < Lat.
clairvoyant  water diviner,vidente  vedor d’água < Lat.
rogue  crafty,trapaceiro < Fr. + Por. suffix ceiro}},zamacuco < ṣamakūk
snout  mug (colloquial),focinho < Lat.
to assemble  to produce (verb),montar  produzir < Lat.,maquilar < makilah
to cop out (verb),encostar < Lat.,escaquearse < Hisp-Ar. iššáh < aš-šāh
mother-of-pearl,madrepérola < Lat.,nácar < naqr (نفر)<ref></ref>
