Driver family,Driver,Chipsets,Chipset PHY Modes,Integration in mainline,Non-free firmware required<ref group=note name='non-free firmware'>'On Device' means firmware is stored in device at all times</ref>,License,Development
rt61pci,RT2561  RT2561S  RT2661,[empty],[empty],[empty],GPLv2+,rt2x00.serialmonkey.com,[added]
rt2800pci,RT2760  RT2790  RT2860  RT2880  RT2890  RT3052  RT3090  RT3091  RT3092<br />RT3390  RT3060  RT3062  RT3562  RT3592  RT5390  RT3290,[empty],[empty],[empty],GPLv2+,rt2x00.serialmonkey.com,[added]
rt2500usb,RT2571 & RT2572,b/g,[empty],[empty],GPLv2+,rt2x00.serialmonkey.com,[added]
rt73usb,RT2571W  RT2573 & RT2671,[empty],[empty],[empty],GPLv2+,rt2x00.serialmonkey.com,[added]
rt2800usb,RT2770  RT2870 & RT3070  RT3071 & RT3072<br />RT3370  RT3572  RT5370  RT5572,[empty],[empty],[empty],GPLv2+,rt2x00.serialmonkey.com,[added]
rtl818x,rtl8180,RTL8180  RTL8185  RTL8187SE,b/g,[empty],[empty],GPL,[empty]
rtl8187,RTL8187  RTL8187B,a/b/g,[empty],[empty],GPL,[empty],[added]
rtlwifi rtl‑wifi,rtl8188ee,Realtek,[empty],(since 2.6.38)<ref>https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/drivers/net/wireless/rtlwifi?id=0c8173385e549f95cd80c3fff5aab87b4f881d8d 2010-12-15: add rtl-wifi and support for RTL8192CE</ref>,[empty],GPL,Written by Realtek et al. Forked from rtl8180-sa2400 project.
rtl8192c,[empty],[empty],[empty],[empty],GPL,Written by Realtek et al.,[added]
rtl8192ce,[empty],[empty],[empty],[empty],GPL,Written by Realtek et al.,[added]
rtl8192cu,[empty],[empty],[empty],[empty],GPL,Written by Realtek et al.,[added]
rtl8192de,[empty],[empty],[empty],[empty],GPL,Written by Realtek et al.,[added]
rtl8192se,[empty],[empty],[empty],[empty],GPL,Written by Realtek et al.,[added]
rtl8723ae,[empty],[empty],[empty],[empty],GPL,Written by Realtek et al.,[added]
rtl8188eu,RTL8188EU e.g. in the TP-Link TL-WN725N,[empty],(since 3.12<ref></ref><ref></ref>),[empty],GPL,Written by Realtek et al.,[added]
rtl8821ae,RTL8812AE  RTL8821AE,ac,(since 3.16),[empty],GPL,[empty],[added]
rsi9113,RSI9113,Redpine Signals SDIO  USB adapters,[empty],[empty],[empty],GPL,Written by Redpine Signals Inc.
ti,wl1251,Texas Instruments TI wl1251 (SDIO/SPI),[empty],[empty],<ref name="ti-connectivity"></ref>,GPL,Written by Nokia
wl12xx,Texas Instruments TI wl1271  wl1273  wl1281 and wl1283,[empty],(Only up to 3.2<ref></ref>),<ref name="ti-connectivity"/>,GPL,Written by Nokia and Texas Instruments,[added]
wl18xx,Texas Instruments TI WiLink 8,[empty],[empty],<ref name="ti-connectivity"/>,GPL,Written by Texas Instruments,[added]
zd1211rw,zd1211rw,ZyDAS ZD1211/ZD1211B (USB),[empty],[empty],<ref>http://sourceforge.net/projects/zd1211/files/zd1211-firmware/ ZD1211 USB WLAN Linux Driver Firmware</ref>,GPL,various
