GBDE,[empty],<ref name=freebsd-disk></ref>,[empty],[empty],<ref name=gbde-paper></ref>,<ref name=gbde-paper/>,<ref name=freebsd-disk/>,[empty],[empty],[empty]
GELI,[empty],<ref name=freebsd-disk/>,[empty],[empty],<ref name=geli-man></ref>,<ref name=geli-man/>,<ref name=freebsd-disk/>,[empty],[empty],[empty]
Loop-AES,[empty],<ref name=loop-aes></ref>,[empty],<ref name=loop-aes/>,<ref name=loop-aes/>,<ref name=loop-aes/>,<ref name=loop-aes/>,[empty],[empty],<ref>Using customization</ref>
McAfee Drive Encryption (SafeBoot),[empty],[empty],[empty],[empty],[empty],[empty],<ref name="Intel"/><ref></ref>,[empty],[empty],[empty]
n-Crypt Pro,[empty],[empty],[empty],[empty],[empty],<ref name=ncrypt-bio>n-Crypt Pro does not use password authentication— biometric/USB dongle authentication only</ref>,[empty],[empty],[empty],[empty]
PGPDisk,[empty],<ref name=pgp-faq></ref>,[empty],[empty],[empty],<ref>PGP private keys are always protected by strengthened passphrases</ref>,[empty],[empty],[empty],[empty]
Private Disk,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ProxyCrypt,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
R-Crypto,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SafeGuard Easy,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="EmbeddedSecurity"></ref>,[empty],[empty]
SafeGuard Enterprise,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="EmbeddedSecurity" />,[empty],[empty]
SafeGuard PrivateDisk,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="Lenovo"></ref>,[empty],[empty]
SafeHouse Professional,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Scramdisk,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Scramdisk 4 Linux,<ref name=sd4l-tc>For Truecrypt containers</ref>,[empty],[empty],[empty],[empty],<ref name=sd4l-tc/>,[empty],[empty],[empty],[empty]
SecuBox,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SecureDoc,[empty],<ref name=sdoc-faq></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Sentry 2020,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Softraid / RAID C,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Svnd / Vnconfig,[empty],[empty],[empty],[empty],[empty],<ref>optional by using -K OpenBSD Manual Pages: vnconfig(8)</ref>,[empty],[empty],[empty],[empty]
Symantec Endpoint Encryption,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Trend Micro Endpoint Encryption,[empty],[empty],[empty],[empty],[empty],<ref></ref>,<ref></ref>,[empty],[empty],<ref></ref>
TrueCrypt,<br />(limited to one per<br />"outer" container),<ref name="ReferenceA"></ref>,[empty],[empty],<ref name="truecrypt.org"/><ref>Although each volume encrypted with TrueCrypt can only have one active master key  it is possible to access its contents through more than one header. Each header can have a different password and/or keyfiles if any (cf. TrueCrypt FAQ: Is there a way for an administrator to reset a volume password or pre-boot authentication password when a user forgets it (or loses a keyfile)?)</ref>,[empty],[empty],<ref name="TrueCrypt Foundation"/>,</ref> }},[empty]
VeraCrypt,<br />(limited to one per<br />"outer" container),<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CyberSafe Top Secret,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
