Meaning,Portuguese < French,Spanish
beef tenderloin,filé mignon < filet mignon'',solomillo de ternero < Lat.+ diminutive
grill,grelha < grille'',parrilla < Uncertain origin
slippers,pantufas < pantoufles,zapatillas de casa < Arabic سباط (sabbat) + Sp. suffix illa''
underpants,trusse  trusses < trousse,calzoncillo < Lat.
New Year's Eve,réveillon < réveillon,(fiesta de) nochevieja < Lat.
survey  poll  probe,sondagem < sondage,sondeo < Lat.
upstream/downstream  upwards/downwards  (tide  waterway  financial markets/economic trends  chain-production  etc.),montante/''jusante'' < montant/jusant,(aguas)abajo'' / (aguas) arriba < Lat. + prefix
to scold  to nag,ralhar < railler < Old Occitan ralhar,reñir  regañar < Lat.
train,comboio < convoi
tureen  terrine,terrina  terrine < terrine'',sopera < Ger + Sp.
toilet,toalete < toilette,servicios  aseos < Lat.     (etc.)
tour,tournée  turné  turnê < tournée,gira < Lat.
screening,triagem < triage,selección < Lat.
vehicle,viatura < voiture,vehículo < Lat.
